train set 1,train set 1 size,train set 2 size,language to,c0,c1,rmse,kfold rmse
bible,25,25,ka,-10.369735242044465,-22.99341546051261,0.15869371455513342,0.5846700030650046
bible,25,25,gu,-3.548271507777678,-22.606004618017273,1.4068063189748474,4.389202524860606
bible,25,25,hi,-0.9052714356172903,-18.028380869986933,1.1896328535548868,4.408766185286421
bible,25,25,si,-2.8394099693736425,-21.008855791880666,3.523925461934143,21.576140392149608
bible,25,25,ta,-2.5181056911542763,-17.331226026959527,2.9128043683920266,17.431727882083468
bible,25,50,hi,-0.5512786389708617,-18.72588957882216,0.5262985026266628,1.9341053737110852
bible,25,50,si,-3.1949517437840687,-22.06828070809929,3.492639218795614,21.319895630043828
bible,25,50,ta,-1.9292478570332747,-17.9298536206178,2.603998784386729,15.478548537698751
bible,1,1,ka,-6.849492826477512,-10.839415281445687,0.9742395947235183,3.5365546034952344
bible,1,1,gu,-6.168750393949139,-17.527616522354588,1.9896500372972432,6.607347070746719
bible,1,1,hi,-4.427583123367063,-14.341595515192374,1.829179129471989,7.079242122008973
bible,1,1,si,-6.107039030702972,-15.774303749645993,1.7057788326531147,9.319088820660978
bible,1,1,ta,-5.401345909805562,-14.050137432951587,2.1007184861621253,11.224964370762306
bible,1,10,ka,-12.193312302642337,-21.295623143024745,0.5644158991370636,2.0986375551385694
bible,1,10,gu,-5.561239115023083,-21.959900795448124,1.210760667932444,3.8130342580993313
bible,1,10,hi,-3.8033010612640448,-18.518357721310885,1.113936309231788,4.12658077616595
bible,1,10,si,-4.744240771411553,-20.010738450813648,2.803379903652326,17.07175568317944
bible,1,10,ta,-4.238746091614964,-16.48143621238709,2.8931357295053606,16.967707861933775
bible,1,25,ka,-13.506904773943875,-24.401375754393808,0.0532859782365007,0.19631976695606154
bible,1,25,gu,-6.9117212625348285,-24.61597191322007,0.8681182182069631,2.7085083515520654
bible,1,25,hi,-4.059660128896673,-19.80458458756806,0.5293120911161485,1.961624749856889
bible,1,25,si,-4.8717397662752475,-21.617254645875313,2.8699372571901907,17.571929329007343
bible,1,25,ta,-4.083051230836657,-17.69887075129425,2.596570814624386,15.539222736087394
bible,1,50,hi,-4.3664591463266476,-20.955442617519285,0.17596488224956527,0.6466570257083729
bible,1,50,si,-5.244706498657098,-22.94835014398083,2.7167965603480395,16.58396859400089
bible,1,50,ta,-3.448586753395502,-18.337142316023094,2.128371819024416,12.651352490856999
bible,10,1,ka,-9.729077047028486,-16.571100429215264,0.9226590117644251,3.349313652600891
bible,10,1,gu,-7.37201026199403,-19.063033177387098,1.6907564390719114,5.61476359944349
bible,10,1,hi,-6.45772598449877,-15.85372125181582,1.0503493736276093,4.065035189176193
bible,10,1,si,-8.290230098642027,-17.842824726090786,1.1664914104343458,6.372829147016193
bible,10,1,ta,-7.48455200566597,-15.939340035260148,1.6250642538721012,8.683356897838296
bible,10,10,ka,-10.042129141294968,-20.871906032093197,0.27075428912408933,1.0067312436927616
bible,10,10,gu,-3.96862187735315,-21.305887098732402,1.4850966703806756,4.67699738745291
bible,10,10,hi,-1.537753242623034,-17.17518002787071,1.5589666795698938,5.7751972618121705
