train set 1,train set 1 size,train set 2,train set 2 size,test set,c0,c1,c2,c3,rmse,loo rmse
gov,10,bible,25,flores,0.41794716865100806,6.299662998944647,0.0,0.0,1.4033164112480698,1.6205246881842696
gov,10,bible,25,bible,31.401564548394475,0.5798931637153785,0.0,0.0,3.5212223515422574,3.527755971019406
gov,10,bible,25,gov,-10.902697102904062,33.11586195918807,0.0,0.0,1.420978218980688,1.6571152933609874
gov,50,bible,1,flores,7.566037270159596,-11.021352215675204,0.0,0.0,0.4106835146612746,0.8588009036080423
gov,50,bible,1,bible,25.055705463370153,-9.712182572124327,0.0,0.0,2.306580082396951,4.8234045994485895
gov,50,bible,1,gov,6.374192001503325,-8.716576524255474,0.0,0.0,0.35282661496823103,0.7378131171062562
gov,50,bible,10,flores,8.443871295639452,-10.849569055428669,0.0,0.0,0.31689378850566674,0.6626723962504599
gov,50,bible,10,bible,30.997198318419624,-1.9283684311397398,0.0,0.0,3.3518675814081167,7.009257158182498
gov,50,bible,10,gov,0.4091877508821724,9.908991100234466,0.0,0.0,0.20381842482306298,0.4262150694781694
gov,50,bible,25,flores,7.253467369062236,-8.031909137352844,0.0,0.0,0.3804358276165131,0.7955481288714811
gov,50,bible,25,bible,35.67283807496079,-3.04152940666786,0.0,0.0,3.145002491226843,6.576671232975375
gov,50,bible,25,gov,0.6471355081250338,10.673581513719022,0.0,0.0,0.17966406781972535,0.3757045843391536
bible,25,gov,1,flores,9.466954910034746,-6.6200895509537006,0.0,0.0,1.9060477235517606,2.331213228627834
bible,25,gov,1,bible,2.1727191016353222,2.229291194597108,0.0,0.0,1.7131669391199904,1.9198628274056933
bible,25,gov,1,gov,8.863851149824695,25.05865269896638,0.0,0.0,1.3667001303757467,1.712559777486962
bible,25,gov,10,flores,22.73532325644141,-20.004952787487305,0.0,0.0,3.2760925190952865,3.99422556362529
bible,25,gov,10,bible,4.060550173868529,10.025384588011006,0.0,0.0,2.326538223296816,2.5603903329881263
bible,25,gov,10,gov,19.861247526884316,29.066526487448964,0.0,0.0,3.5068518023345403,3.7409039487799935
bible,25,gov,25,flores,25.378204392713616,-21.254146411214283,0.0,0.0,3.332921802055477,3.97650197913904
bible,25,gov,25,bible,0.801648433450271,18.45635906532317,0.0,0.0,2.6149095293551645,2.8112180711054062
bible,25,gov,25,gov,19.939943714411477,35.98653373090888,0.0,0.0,4.166704200085265,4.385021468536318
bible,25,gov,50,flores,45.22017499218794,-59.792942757043924,0.0,0.0,1.0077218711226144,2.107297257823705
bible,25,gov,50,bible,17.625924935591716,-11.52391924392032,0.0,0.0,0.5162516974844875,1.0795598472202712
bible,25,gov,50,gov,19.35256369224624,44.375390779015895,0.0,0.0,5.005563689915791,10.467383780318112
bible,1,gov,1,flores,3.7421249496759295,2.2887420984245503,0.0,0.0,2.134040873709764,2.4414085893118
bible,1,gov,1,bible,-0.04386044993634523,8.440598342016543,0.0,0.0,2.0390486006410993,2.1108892924545057
bible,1,gov,1,gov,-1.814137773564436,40.63850209810252,0.0,0.0,3.2884773696492706,3.461662674389806
bible,1,gov,10,flores,19.43584516990233,-15.420224678710051,0.0,0.0,3.424319489457577,4.104559488929366
bible,1,gov,10,bible,-2.433577812664128,19.457500592976235,0.0,0.0,2.4745218183347273,2.6032345121642746
bible,1,gov,10,gov,18.57464460660615,29.85659875093106,0.0,0.0,3.6657191208064144,3.905856486636032
bible,1,gov,25,flores,24.205026721689077,-20.2958570611702,0.0,0.0,3.521570147920709,4.198003138230342
bible,1,gov,25,bible,-3.4634899624905686,22.235974390274933,0.0,0.0,2.4797901197864967,2.6053011634992678
bible,1,gov,25,gov,20.855152722527237,33.35321855503671,0.0,0.0,4.003916237909246,4.26983487909969
bible,1,gov,50,flores,45.11803925761312,-60.304487493232486,0.0,0.0,0.8863229194038876,1.8534340903501907
bible,1,gov,50,bible,10.721673166070952,-2.8136678621856634,0.0,0.0,0.46631016944338444,0.9751246059227195
bible,1,gov,50,gov,22.475448021223613,37.885190916559104,0.0,0.0,5.06646726767014,10.594742235685816
bible,10,gov,1,flores,9.74530178640292,-7.70501624986784,0.0,0.0,1.9158268702689345,2.2852772217803485
bible,10,gov,1,bible,1.1277982241195101,4.259688458477795,0.0,0.0,1.7274403010824453,1.8881700256721778
bible,10,gov,1,gov,8.26619853016941,24.937508607786796,0.0,0.0,1.5109988427231698,1.8058248136505752
bible,10,gov,10,flores,22.42345363585589,-19.904171939281834,0.0,0.0,3.2826022384146962,3.9100282944273768
bible,10,gov,10,bible,2.241024605420556,12.783682243903693,0.0,0.0,2.5563508976575173,2.7209380904896343
bible,10,gov,10,gov,18.203879775244932,31.742903245858162,0.0,0.0,3.503467619618211,3.737295145971184
bible,10,gov,25,flores,24.39180626831335,-19.920402861412818,0.0,0.0,3.4214509782119205,4.047166603236625
bible,10,gov,25,bible,1.1644039795716392,16.624476589521016,0.0,0.0,2.5917785976589656,2.8132415686365886
bible,10,gov,25,gov,20.494318295478084,34.55954844312682,0.0,0.0,4.015861873017398,4.246952634922678
bible,10,gov,50,flores,43.838402671108874,-57.572110269787736,0.0,0.0,0.9967598218350994,2.08437419802604
bible,10,gov,50,bible,17.345924410521928,-12.20718779487799,0.0,0.0,0.5438609229834178,1.1372944800272133
bible,10,gov,50,gov,20.865782957006363,41.38469502278838,0.0,0.0,4.975316004546801,10.404130999291807
