train set 1,train set 1 size,train set 2,train set 2 size,test set,c0,c1,c2,rmse,loo rmse
bible,1,gov,1,bible,22.65041211266703,-39.228235072654726,0.9122976299892462,2.0313232274552413,2.3816781022220455
bible,1,gov,1,gov,1.3582830645141786,-4.490954539188265,29.284621416762604,3.5152677503783716,3.579522853172982
bible,1,gov,10,flores,155.59603174732257,-351.1178586941048,37.80083046639275,1.8572630485926427,2.5378133307659554
bible,1,gov,10,bible,12.689919434959481,-30.519461881190374,14.190135782347044,2.6268517820313524,2.6670164233835925
bible,1,gov,10,gov,16.931269411836652,-51.88999641197869,61.915783608929516,2.1686159560949942,4.202769297620198
bible,1,gov,25,flores,170.16962048690834,-375.5508985997232,37.06881481957334,1.574412091223101,2.588168860838282
bible,1,gov,25,bible,6.289577315814304,-19.87649836264355,16.621613674113526,2.627550163720937,2.6396020824817295
bible,1,gov,25,gov,20.513977354099957,-69.28133940573568,75.01540940611939,1.7914581593123842,4.212577229397231
bible,1,gov,50,flores,144.31941221965238,-281.51585460172385,10.750193348805265,1.419159780206675e-13,2.2700321287305463
bible,1,gov,50,bible,32.8496906419161,-69.21887084299522,14.86852281515738,3.789098636222395e-14,0.562477498846027
bible,1,gov,50,gov,115.60498839907046,-321.3457076566088,120.8700696055679,3.599771539477261e-14,2.5863697430174404
bible,10,gov,1,flores,86.68096564611457,-196.62938210498072,20.866181672261387,0.9953563213011307,1.653978407882051
bible,10,gov,1,bible,46.39014780439209,-100.75407433457302,8.315474328439565,1.45119515129517,2.5459207557943286
bible,10,gov,1,gov,28.05480011942393,-63.91583284093697,35.227789180078226,1.300183888377121,1.4346261850875284
bible,10,gov,10,flores,161.1903951395927,-357.12144342511624,34.84343367763787,1.329168068158816,2.4996568233784258
bible,10,gov,10,bible,29.797704058086264,-63.15808212143015,14.066977140937423,2.6092268707364017,2.623740937780599
bible,10,gov,10,gov,16.014440079638735,-50.876599539636224,63.42571097376226,1.7733162905985596,3.607773263019304
bible,10,gov,25,flores,167.1630625689991,-365.3167410049391,34.770754972038965,1.4106865027653863,2.794403662234262
bible,10,gov,25,bible,26.91512916706847,-69.76632131877402,24.329211503956753,2.603270170406147,2.628345082672495
bible,10,gov,25,gov,14.260233110677103,-53.241702813421675,73.1874328969023,1.742514417605991,4.163559339582062
bible,10,gov,50,flores,133.35529775715582,-252.1268368136156,6.001546790409019,5.797022905113891e-13,2.039092021054697
bible,10,gov,50,bible,62.3591647331767,-136.89095127609713,22.645011600927408,4.19486081522737e-14,1.1015317530284625
bible,10,gov,50,gov,103.32049497293079,-289.24980665119864,116.2103634957468,5.285470101157206e-14,2.333950960059208
