train set 1,train set 2,train set 2 size,test set,language to,c0,c1,rmse,kfold rmse
gov,bible,1,bible,hi,18.41375960431906,0.0012007814899968059,0.2532449127767471,0.537574217274583
gov,bible,1,bible,si,21.58205625546046,0.0016056674722180913,0.2621838057886265,0.6471709540232111
gov,bible,1,bible,ta,16.429486190709618,0.0014343102920773825,0.21086712436348878,0.5203782538183762
gov,bible,1,gov,ka,1.1377985866877012,0.01966001688154507,0.15869962833709472,0.9826679052123272
gov,bible,1,gov,gu,4.7915637614772395,-0.013020784369581652,0.21799532616825382,0.5392971070240157
gov,bible,1,gov,hi,2.796850578707036,-0.001222701919941206,0.09050035832402366,0.198986926976252
gov,bible,1,gov,si,2.143279035056401,-0.015780533477483743,0.3549206467412068,0.48692145367065076
gov,bible,1,gov,ta,2.0984642530660516,-0.009192940726341923,0.35201940092633466,0.5344933647994247
gov,bible,10,flores,ka,2.0799575034355446,0.014505045183132021,0.21558155901151693,1.125654416943831
gov,bible,10,flores,gu,5.483357955554693,0.002228308558165494,0.004951851513718626,0.01690286965933225
gov,bible,10,flores,hi,3.4704919245230226,0.001994248494943011,0.05797129985558342,0.12575632813535845
gov,bible,10,flores,si,2.3536558203603697,-0.0010822329775250624,0.11383037586289302,0.21497050772873783
gov,bible,10,flores,ta,2.2040731565558946,0.0014559571911141728,0.055510415180374466,0.1041819312512751
gov,bible,10,bible,ka,23.27052896742407,0.0033333977375929807,0.38765000931099947,1.3959241526772614
gov,bible,10,bible,gu,24.487984994126716,0.000604363514066611,0.11692697059559953,0.3933439053324903
gov,bible,10,bible,hi,28.062838490440292,0.0001440725645209566,0.08257256873544866,0.20761772058228664
gov,bible,10,bible,si,34.06505427264946,0.0004534505963466766,0.20146118048605388,0.47802308178006747
gov,bible,10,bible,ta,26.369477308333217,0.0006198249459136728,0.12867156001133476,0.3238388913490919
gov,bible,10,gov,ka,1.9539735477921807,0.018120428382246652,0.1896512042301774,1.0385936082593725
gov,bible,10,gov,gu,10.24944938754777,-0.006812216557802456,0.26639055079144486,0.7507144357753739
gov,bible,10,gov,hi,5.066578179753964,-0.0030812703789943226,0.42528283896173485,0.8719733884139524
gov,bible,10,gov,si,6.454193789970363,-0.0030874500404219187,0.4267918639997457,0.905161333424343
