train set 1,train set 1 size,train set 2,train set 2 size,test set,c0,c1,c2,c3,rmse,kfold rmse
cc_align,100,bible,1,gov,0.7666666632215254,217.36719639573596,190.561653942027,-698.6493406803908,0.03651484119741601,0.050631937275308625
cc_align,100,bible,10,flores,2.4259938507639007,12.068522298196847,14.24435654707147,-46.671305801802205,0.01831047208086527,0.10281721051199494
cc_align,100,bible,10,bible,26.093068918476067,-740.4106524160135,297.7030058100729,999.9999997673727,1.2771952944161116,1.5277433447638433
cc_align,100,bible,10,gov,-6.572028585167735,-3.60521223723771,0.36291918369449894,0.40240048807416756,0.5067041146056853,0.3082565535078416
cc_align,100,bible,25,flores,2.570156238568846,9.900927500300956,13.088122526190668,-41.29083454301565,0.021202304089250324,0.38674893312026076
cc_align,100,bible,25,bible,30.16858644080381,-739.8372453401909,297.30260516628505,999.9999994721883,1.4025055550212928,1.5731779321575288
cc_align,100,bible,25,gov,-5.869655787695285,-3.6261125643698526,0.49400376422660774,0.3018859432328521,0.4911597206551683,0.4354566580234724
gov,25,bible,1,flores,-8.75620786524244,-3.6525744251181633,0.26163304450083114,0.17057097456224418,0.1893175343869873,0.6387504418895296
gov,25,bible,1,bible,17.524999983708305,-17.137345328748417,-22.046943029291715,119.90185076848329,0.9195107478517326,0.9219545067967545
gov,25,bible,1,gov,-8.686990376785257,-3.674440327791158,0.24946932432717142,0.22444455495805743,0.20345258387883133,0.6342031734594948
gov,25,bible,10,flores,-12.42173597376106,-4.355381754811558,0.2630111623955445,0.4945231683555697,0.24870876838659725,1.07376796918727
gov,25,bible,10,bible,26.071855861604114,-737.4328243123716,295.37876555746055,999.9999989445888,1.2314088761833952,1.295976663027883
gov,25,bible,10,gov,-8.401443199623857,-4.858082246614412,0.5459260825133737,1.2074358796163172,0.5833402885072628,1.597731768015253
gov,25,bible,25,flores,-13.046039630444023,-4.497506085278463,0.3326887534937654,0.47077688299405973,0.23482325933323553,1.1375427849143254
gov,25,bible,25,bible,30.10750930346472,-738.3601378944068,296.2335769810112,999.999999734818,1.4426436554479036,1.518551901085138
gov,25,bible,25,gov,-6.783330973998384,-4.822966008624375,0.7406732744248643,0.9549565783735142,0.8379325699474043,1.6348128734610214
gov,1,bible,1,flores,-7.473614167152225,-3.4562224391424543,0.3355718753759781,0.07956121053226166,0.4680325504191792,0.14789763445193202
gov,1,bible,1,bible,15.449999495957739,-93.53459304500947,33.92316515560175,133.47262891988063,1.676007159892862,1.6763727282202547
gov,1,bible,1,gov,-7.236253438781088,-4.011961986494105,0.45635128546032133,0.6197973225484399,0.6857626795992076,0.9254675749834126
gov,1,bible,10,flores,-10.952510069588353,-4.312881584672914,0.30500000547949496,0.6237397284901275,0.544651384009024,0.18978678082358383
gov,1,bible,10,bible,25.13138863456139,-738.4053233522587,296.1231431493631,999.9999990807764,1.6339831078854352,1.7127625064572354
gov,1,bible,10,gov,-3.181567733530296,-5.102018268338197,1.045262185135769,1.5936949282269939,1.4431624656227373,1.9160856577147307
gov,1,bible,25,flores,-11.080659088860084,-4.3364855522390515,0.35795882529559314,0.4769972546486185,0.45905310699586954,0.11526093726926077
gov,1,bible,25,bible,29.327762474482686,-739.6459220249092,297.1079945559418,999.9999998033345,1.3920232781346262,1.5544201487606604
gov,1,bible,25,gov,-0.5152866337686149,-5.035171681024447,1.4784420353462036,1.2651992335004574,1.7417103585776879,2.02454097115155
gov,10,bible,1,flores,-9.22366971091803,-3.720731404857744,0.22719837587833458,0.27873507492371175,0.2832297998998908,0.5981539689741888
gov,10,bible,1,bible,17.199999992258654,-17.438160337398955,-22.849963926653626,123.90514449998017,0.927361854483694,0.9349986043974124
gov,10,bible,1,gov,-8.998260632854143,-3.801027623055542,0.2775574943003974,0.30517294065631556,0.3258695809494162,0.45960986081677924
gov,10,bible,10,flores,2.399999983849415,206.40539649333647,184.88354192654498,-671.6703134425695,0.16733201158111058,0.8713861593407152
gov,10,bible,10,bible,25.83798271601739,-736.1994018020038,294.47377719735476,999.9999998431364,1.245526105327189,1.2783670016567488
gov,10,bible,10,gov,-6.4415280558977726,-4.898846244443474,0.6270472241071418,1.4261386799103335,0.9482509137700893,1.7044602573388927
gov,10,bible,25,flores,-11.541243057329543,-4.3784240775279795,0.3477839510086701,0.4557778658040812,0.27482360745233114,0.876736707522151
gov,10,bible,25,bible,29.7017118026613,-740.0409125221418,297.4802040463584,999.9999999999889,1.4393252459836603,1.6192590771033037
gov,10,bible,25,gov,-1.8005919991421047,-4.874023426607249,1.0615238472537283,1.6037252413025893,1.080001225299579,1.4963157204802038
gov,50,bible,1,flores,1.8666666682841362,16.64489721265218,13.786590194351817,7.4509166447480615,0.7408703590868272,0.7632133681881228
gov,50,bible,1,bible,9.804309652233115,-3.4914290304640145,-0.9155069392003627,2.5880017571741787,2.4258717274024057e-08,0.21556047644317158
gov,50,bible,1,gov,1.8666666667035985,16.89893294578771,13.953394539015267,7.6650905722884035,0.6018490028786985,0.6164381304838092
gov,50,bible,10,flores,2.8333333329540213,14.11456041436637,11.802241937896436,6.014420610534866,0.6847546215803356,0.718215407076582
gov,50,bible,10,bible,12.275304099458593,-4.8375329512241185,-0.4507197234864543,2.6210637810185022,1.4638933760158436e-10,3.329111136764449
gov,50,bible,10,gov,3.279880555355083,-3.3393909086857856,0.8615650144964556,2.3895775729297326,2.0367443378083288e-09,0.5637143917133411
gov,50,bible,25,flores,3.1000000047292255,14.770748147117603,13.2996162384065,6.116452019349673,0.5887840580602243,0.5972157937876729
gov,50,bible,25,bible,14.083134919004715,-5.032351151095939,-0.3223590082224593,2.3654386901777795,2.761457389546208e-08,6.3335486016619855
gov,50,bible,25,gov,5.22333088703278,-4.892163383004491,3.394689315631199,2.5886858360621816,4.513328003567802e-10,0.7736935793490624
bible,25,gov,1,flores,4.6666666620861665,219.72131266070127,195.49071704077983,-713.7205629225072,0.699523656580327,1.7597760310100166
bible,25,gov,1,bible,1.9492730856091343,34.60753637144569,33.85154407569592,-120.03856175733428,0.09474522187814617,0.6412064051284929
bible,25,gov,1,gov,19.54953470273797,-15.01120484313924,4.775617106629961,18.937385278037315,0.7333276019860728,1.2207881639371747
bible,25,gov,10,flores,-23.73037913546821,-5.4517947071105475,0.12304534414235262,0.7109035702616012,0.7281546529473945,3.1961760992888086
bible,25,gov,10,bible,-2.4050795484829397,-4.177314703859332,0.38120785128909024,0.6975537970486819,2.130930233757168,2.316902265996442
bible,25,gov,10,gov,31.59994291073926,-29.43017112517219,8.815601083468959,41.43875312089411,0.5081563010791974,0.5927533520265678
bible,25,gov,25,flores,-21.097402127087303,-5.38641191229439,0.13799689568414555,0.6035858362327412,0.7357665749279696,3.0675739189699587
bible,25,gov,25,bible,8.454081112947792,-19.937623552516758,7.115777072408301,25.35150716425603,2.3779474443090796,2.645689736414836
bible,25,gov,25,gov,34.59999998830447,-80.58188314122916,29.6436814668594,109.45665736825,0.12649110720717635,0.15368337970083723
