train set 1 size,train set 2,train set 2 size,language to,c0,c1,rmse,kfold rmse
10,gov,10,si,-0.4960185603396431,53.98620416187485,11.253945797196575,18.682176751407706
10,gov,10,ta,1.6531136744900232,39.81269744512923,9.656852598070406,15.752004027249571
10,gov,25,ka,-1.5853833622376334,53.09270755718585,7.18089307565845,10.850179352598088
10,gov,25,gu,6.246378046106673,44.848363320303214,6.268764598199197,9.716397733978695
10,gov,25,hi,6.501053938355974,39.92942454431002,6.595670593711652,10.024709613425104
10,gov,25,si,0.7064248516526451,58.40721245034623,12.407549851889739,20.597223725979457
10,gov,25,ta,1.890336637899844,44.98311988881424,10.236684096913566,16.697809921266522
10,gov,50,hi,6.3855587640793035,43.63551528575569,6.312458514129384,9.594257725853788
10,gov,50,si,-0.1876888988907479,64.29504501716825,12.956488484460571,21.50849242623554
10,gov,50,ta,2.2287146863745626,48.39434025541112,10.347116592126504,16.87794450359162
10,bible,1,ka,-6.500378659902908,38.658487914566805,3.5927817572548584,9.147318419641453
10,bible,1,gu,-5.13723390078799,38.41595209107202,3.171049640282949,7.408061927109656
10,bible,1,hi,-6.362208018869116,42.81784789161021,4.043118750202924,10.258154113838875
10,bible,1,si,-5.829929979949431,38.1661561698983,6.194702155139683,20.566060871545858
