train set 1,train set 1 size,train set 2,train set 2 size,test set,c0,"c1,1","c1,2","c1,3","c2,1","c2,2","c2,3","c3,1","c3,2","c3,3",rmse,kfold rmse
gov,1,bible,10,gov,7.19148295148249,14.054698845309952,12.465587628093003,6.300170429424404,1.6009933989818002,-5.135309637669334,-3.0789316268451326,-17.039036896420885,-9.304649995443471,-5.939749061447183,0.9167878707749144,1.8335757415692988
gov,1,bible,25,flores,11.232667512519297,8.687503065458293,-5.519253648703776,-8.369586930928019,8.471219843328157,-6.9370291182785255,-0.4763337542397539,-21.854848063225486,-21.545174907212097,10.639108992173274,0.3577708763999663,0.7155417564198807
gov,1,bible,25,bible,12.454158076057732,19.790819265912162,12.978454811326564,15.31085699441267,-8.172042572586449,-6.4491497279630865,-13.49615272074169,47.440505854200005,39.92645196037149,32.73237198041514,0.670820393249938,1.3416408005576044
gov,1,bible,25,gov,11.316382391137676,17.17038259438325,7.009442602709159,9.471682590613598,-7.769514623091657,-0.41038046317474797,-3.671868078971441,-13.982854458660034,-3.406866993917368,-25.357672471271048,1.3640014662748714,2.7280029316021177
gov,10,bible,1,flores,8.838994705149954,-0.6319975057172629,-3.9783905873791725,-4.386563881682161,4.96482490175054,0.272106369411354,-3.867832857893782,-11.955625182641185,-8.70990915385912,-6.614698105954627,0.22360679774997994,0.4472136010760659
gov,10,bible,1,bible,9.042255611840607,7.379210302193237,6.482592996976314,5.483449189445147,0.09337766793056543,2.162483356932455,-16.495238462255642,27.11009374428723,20.07179111878714,9.701767774480588,0.559016994374953,1.1180339957885472
gov,10,bible,1,gov,8.946760324464979,2.297887304787554,-3.8906069602790505,-5.514527290820623,3.7876953054065883,-0.44068003390145327,-2.9337282084283687,-12.014688905323533,-10.636443245605594,-6.864326697203128,0.2683281572999749,0.5366563114352934
gov,10,bible,10,flores,16.82486776772728,-0.06616348526576496,-3.66572753403343,-5.386303696048973,-2.455183558008798,1.3218071754812566,-1.4967713061512478,-13.583379689813908,-27.993468287883264,4.5373172833058355,0.2236067977499791,0.4472135933164722
gov,10,bible,10,bible,23.371090269097863,-19.807050442930628,38.27448080825321,18.906726558769716,-7.663167209481099,-5.7100431574910955,-13.64861615381133,41.55796787233369,37.23138421517301,40.89206088752186,0.9167878707749146,1.8335757268252357
gov,10,bible,10,gov,6.019388110344371,8.886199354035451,10.577112158978174,3.823052117693318,1.0513556385608918,-0.890417816928449,-4.191720174520885,-4.260334424598778,-28.9279146051476,-2.676013767689921,0.4024922359499622,0.804984471744881
gov,10,bible,25,flores,14.392484034862184,7.322359641310323,-7.663664420897505,-7.02453661427648,4.924442736587935,2.8515109451108787,-4.738860965529243,-37.253055625679785,-6.618020130257763,13.880188657160893,0.2906888370749733,0.5813776740948445
gov,10,bible,25,bible,13.227297342562455,13.917813584825211,13.656240457341495,14.901453663549018,-8.792207610494744,-4.691760504718386,-12.469906889847497,48.69711239482778,41.44695686870939,35.243296297516856,0.648459713474942,1.2969194257852263
gov,10,bible,25,gov,11.041032588520027,9.740019838211525,12.300504037814964,6.296071565648877,-6.030922751822747,-4.1564100955972005,1.0804801994734474,-14.407972560427588,-7.449338945803904,-6.4256495347578255,0.7155417527999338,1.4310835120208034
