train set 1,train set 1 size,train set 1 jsd,train set 2,train set 2 size,train set 2 jsd,language from,language to,test set,sp-BLEU,geographic,genetic,syntactic,phonological,inventory,featural
cc_align,25,0.4580620436,gov,25,0.5194551817,en,hi,bible,3.9,0.4,0.9,0.59,0.3433,0.4684,0.5
cc_align,25,0.4183255531,gov,25,0.1423219382,en,hi,gov,35.5,0.4,0.9,0.59,0.3433,0.4684,0.5
cc_align,25,0.4334583706,gov,25,0.4015966033,en,si,flores,12.5,0.4,0.9,0.78,0.4121,0.4991,0.6
cc_align,25,0.5488759703,gov,25,0.586522217,en,si,bible,2.0,0.4,0.9,0.78,0.4121,0.4991,0.6
cc_align,25,0.3770364696,gov,25,0.09733325817,en,si,gov,46.7,0.4,0.9,0.78,0.4121,0.4991,0.6
cc_align,25,0.3905099289,gov,25,0.3965274658,en,ta,flores,10.5,0.4,1.0,0.71,0.5687,0.5014,0.6
cc_align,25,0.4691599767,gov,25,0.5831242241,en,ta,bible,3.2,0.4,1.0,0.71,0.5687,0.5014,0.6
cc_align,25,0.4172693543,gov,25,0.09733325817,en,ta,gov,38.5,0.4,1.0,0.71,0.5687,0.5014,0.6
cc_align,25,0.3777669327,gov,50,0.3349295165,en,hi,flores,20.2,0.4,0.9,0.59,0.3433,0.4684,0.5
cc_align,25,0.4580620436,gov,50,0.5193833641,en,hi,bible,3.9,0.4,0.9,0.59,0.3433,0.4684,0.5
cc_align,25,0.4183255531,gov,50,0.1423672441,en,hi,gov,37.1,0.4,0.9,0.59,0.3433,0.4684,0.5
cc_align,25,0.4334583706,gov,50,0.3989119558,en,si,flores,13.7,0.4,0.9,0.78,0.4121,0.4991,0.6
cc_align,25,0.5488759703,gov,50,0.5858465013,en,si,bible,2.5,0.4,0.9,0.78,0.4121,0.4991,0.6
cc_align,25,0.3770364696,gov,50,0.09518148614,en,si,gov,50.1,0.4,0.9,0.78,0.4121,0.4991,0.6
cc_align,25,0.3905099289,gov,50,0.3933524284,en,ta,flores,12.9,0.4,1.0,0.71,0.5687,0.5014,0.6
cc_align,25,0.4691599767,gov,50,0.5825626895,en,ta,bible,3.5,0.4,1.0,0.71,0.5687,0.5014,0.6
cc_align,25,0.4172693543,gov,50,0.09518148614,en,ta,gov,41.1,0.4,1.0,0.71,0.5687,0.5014,0.6
cc_align,100,0.38321367,gov,1,0.3759167361,en,ka,flores,7.2,0.4,1.0,0.64,0.3498,0.4738,0.5
cc_align,100,0.5519190464,gov,1,0.531126983,en,ka,bible,0.9,0.4,1.0,0.64,0.3498,0.4738,0.5
cc_align,100,0.4166810068,gov,1,0.1938368776,en,ka,gov,20.2,0.4,1.0,0.64,0.3498,0.4738,0.5
cc_align,100,0.370302209,gov,1,0.3801471754,en,gu,flores,11.2,0.3,0.9,0.68,0.5687,0.4753,0.6
cc_align,100,0.5463004259,gov,1,0.533194274,en,gu,bible,2.8,0.3,0.9,0.68,0.5687,0.4753,0.6
cc_align,100,0.4291804164,gov,1,0.2151348168,en,gu,gov,24.9,0.3,0.9,0.68,0.5687,0.4753,0.6
cc_align,100,0.3514577685,gov,1,0.3830502287,en,hi,flores,10.7,0.4,0.9,0.59,0.3433,0.4684,0.5
cc_align,100,0.4803553839,gov,1,0.5297566363,en,hi,bible,1.7,0.4,0.9,0.59,0.3433,0.4684,0.5
cc_align,100,0.3916207028,gov,1,0.1941324151,en,hi,gov,23.3,0.4,0.9,0.59,0.3433,0.4684,0.5
cc_align,100,0.3777435012,gov,1,0.4495009186,en,si,flores,7.3,0.4,0.9,0.78,0.4121,0.4991,0.6
cc_align,100,0.5332205864,gov,1,0.6044458611,en,si,bible,1.0,0.4,0.9,0.78,0.4121,0.4991,0.6
cc_align,100,0.3321494652,gov,1,0.1709200509,en,si,gov,27.5,0.4,0.9,0.78,0.4121,0.4991,0.6
cc_align,100,0.3391480635,gov,1,0.4427872698,en,ta,flores,5.7,0.4,1.0,0.71,0.5687,0.5014,0.6
cc_align,100,0.4753253314,gov,1,0.5974305094,en,ta,bible,1.0,0.4,1.0,0.71,0.5687,0.5014,0.6
cc_align,100,0.3615441627,gov,1,0.1709200509,en,ta,gov,24.1,0.4,1.0,0.71,0.5687,0.5014,0.6
cc_align,100,0.38321367,gov,10,0.3383509698,en,ka,flores,13.9,0.4,1.0,0.64,0.3498,0.4738,0.5
cc_align,100,0.5519190464,gov,10,0.5164396023,en,ka,bible,1.8,0.4,1.0,0.64,0.3498,0.4738,0.5
cc_align,100,0.4166810068,gov,10,0.1463126272,en,ka,gov,31.1,0.4,1.0,0.64,0.3498,0.4738,0.5
cc_align,100,0.370302209,gov,10,0.3389213611,en,gu,flores,19.8,0.3,0.9,0.68,0.5687,0.4753,0.6
cc_align,100,0.5463004259,gov,10,0.5207610711,en,gu,bible,4.5,0.3,0.9,0.68,0.5687,0.4753,0.6
cc_align,100,0.4291804164,gov,10,0.1740470334,en,gu,gov,35.3,0.3,0.9,0.68,0.5687,0.4753,0.6
cc_align,100,0.3514577685,gov,10,0.3404868853,en,hi,flores,17.7,0.4,0.9,0.59,0.3433,0.4684,0.5
cc_align,100,0.4803553839,gov,10,0.520941588,en,hi,bible,3.9,0.4,0.9,0.59,0.3433,0.4684,0.5
cc_align,100,0.3916207028,gov,10,0.1471842026,en,hi,gov,33.3,0.4,0.9,0.59,0.3433,0.4684,0.5
cc_align,100,0.3777435012,gov,10,0.4086775824,en,si,flores,12.8,0.4,0.9,0.78,0.4121,0.4991,0.6
cc_align,100,0.5332205864,gov,10,0.5893716743,en,si,bible,2.7,0.4,0.9,0.78,0.4121,0.4991,0.6
cc_align,100,0.3321494652,gov,10,0.1047547461,en,si,gov,42.8,0.4,0.9,0.78,0.4121,0.4991,0.6
cc_align,100,0.3391480635,gov,10,0.4017170656,en,ta,flores,10.8,0.4,1.0,0.71,0.5687,0.5014,0.6
