train set 1,train set 1 size,train set 2,train set 2 size,test set,c0,"c1,1","c1,2","c2,1","c2,2","c3,1","c3,2",rmse,kfold rmse
cc_align,100,bible,1,gov,54.90894448097458,-28.55532184515094,-20.294427937621126,56.00589048511047,-53.000233631110795,-141.20766021286605,100.69224522167312,1.358151611615964e-09,1.5190331357936397
cc_align,100,bible,10,flores,29.05656118905197,-13.105427564863632,-52.73157557879402,173.19688767542073,-171.8815768364001,-130.25740498515972,86.18705705697586,2.025655759377471e-09,1.5835754859623572
cc_align,100,bible,10,bible,385.0531524130183,-863.477681253227,999.9987177167117,488.1308065028522,-520.5198151493288,-814.3289566987814,582.050409893819,0.010621406500860308,10.488332726541168
cc_align,100,bible,10,gov,17.70176335823318,199.153511203006,-274.88390212184925,137.45237298704356,-132.85935379081772,-232.49838240721473,165.0923148154742,1.4568818450711688e-11,3.7014417661691796
cc_align,100,bible,25,flores,57.406127710785434,-33.469041293327955,-50.298805456400245,129.20706075088128,-121.60097628621166,-163.78181608555906,114.36947410639108,1.7803977050870036e-10,2.1618488549301014
cc_align,100,bible,25,bible,347.949323889823,-839.9032806035356,999.998461216928,541.2539269130715,-581.6661639911482,-749.6196305567918,527.9028365325779,0.011472725167939643,3.241841406162036
cc_align,100,bible,25,gov,126.09511060714041,-234.23632965455548,166.50567810561034,114.47902705866323,-106.18798301318625,-226.2791708034536,162.0480150460759,4.094263092432489e-10,4.234725897696474
gov,25,bible,1,flores,56.28868591013859,-40.06120057366634,-48.67606015563008,31.1320702254509,-23.870834519388783,-97.00696243734787,71.86211045315363,4.263410282983257e-10,1.460092433858554
gov,25,bible,1,bible,401.8875568168451,-425.7881851521463,386.2345867519289,-119.60398738434057,133.52356782477426,-748.2360966734152,571.0866344756988,1.3403369275102193e-10,2.7831243405731843
gov,25,bible,1,gov,61.0383272631143,-40.77818821955046,-49.75673342006408,22.693699770263322,-14.88459756689687,-104.7375589826953,78.5330854287811,1.0864398145542178e-09,1.3774602112225391
gov,25,bible,10,flores,77.9317897950981,-70.46022186082722,-82.27476300187679,45.36823195618495,-34.875257767878146,-110.28620030620972,87.40852188680688,5.538130824860814e-10,2.010115079775266
gov,25,bible,10,bible,-95.45530367956458,996.530190607415,-922.7162455755821,559.3038966349272,-601.8264243564614,-763.4415568929763,542.3066396950626,0.003139385611835724,9.395795936733117
gov,25,bible,10,gov,167.6639725277634,-76.47122266784693,-101.21478013647406,-56.41710565512847,87.89401021240099,-310.72334425913834,249.34660087131022,1.310981145556842e-09,4.563421033569585
gov,25,bible,25,flores,74.4813662719961,-70.28762442684727,-97.76438432048813,62.260812440681306,-49.701521780255575,-101.75589609465537,81.04030829340255,7.496608929407331e-10,2.0719397551262855
gov,25,bible,25,bible,-87.28681983969683,999.9997145539359,-895.0023225800473,530.5128284400024,-570.3145088911036,-771.7913169250386,541.1861690389273,0.006064538432566031,9.478161057326977
gov,25,bible,25,gov,103.59925396535603,-28.2874701460729,-115.42263755277924,266.5607081826919,-251.25691698843113,-361.3336008578562,261.8860879653699,8.420767329182637e-10,4.782351969278988
gov,1,bible,1,flores,26.254658403755595,181.4966877163515,-258.8642647811921,114.0133547641222,-108.56173859502265,-227.83763119122796,160.59951011485052,3.55840211979977e-12,1.6120356364643635
gov,1,bible,1,bible,433.69011225469865,-933.1789593361899,995.6555580954024,598.519234843612,-623.3054652351261,-953.3513818890937,670.8726677122226,4.2918716366481635e-11,12.721812035925707
gov,1,bible,1,gov,50.8469410147258,160.41734012094958,-257.4685034885211,173.0649182408417,-165.11151412373684,-313.2085075295329,224.76537813805245,1.039968292930121e-09,3.465945362474059
gov,1,bible,10,flores,76.47774909726132,53.82722339121907,-193.95065488333321,111.26888133165176,-101.2936507644944,-247.36103319555377,183.69557183024125,1.9656360164361067e-09,2.632866134070253
gov,1,bible,10,bible,419.0447690884455,-881.209813334959,995.7305051787127,672.2746515913657,-712.3770004908679,-999.9369816452457,707.7854432734026,4.2862196829486266e-10,7.837715740829329
gov,1,bible,10,gov,107.16633799546072,168.24491004546118,-286.8578119827321,446.63087293276834,-434.54487475571943,-640.0040307739465,453.7522979151893,1.46689657356517e-09,2.7676777018633114
gov,1,bible,25,flores,95.75664431699605,-43.11574200764151,-102.6111608804135,88.69779581118244,-75.98859772641416,-214.55242207448404,160.13534537594632,4.743875365516012e-10,2.6016841530641295
gov,1,bible,25,bible,255.40773503985696,-756.391368840967,915.0964122115529,936.8514032077699,-999.9825251446434,-774.8673074352731,526.6262631234647,1.483060833884641e-11,7.6462464551298215
gov,1,bible,25,gov,456.70069235707416,-997.8003100045779,919.9194142026938,389.0226315608666,-366.38112748491216,-802.0818415872254,569.6541300097166,6.671858381464298e-13,10.803505371878934
gov,10,bible,1,flores,64.05844020084027,-55.81364919197564,-34.90404153113303,68.55728976638294,-63.51590645451279,-130.152600322295,94.75020486240338,6.974303967560669e-12,1.1928366923474334
gov,10,bible,1,bible,249.19635595891205,-440.42815569418406,440.6980868560501,353.86210986030426,-375.14747785573263,-584.462839097054,421.9386498241716,1.6335053331162691e-09,6.540146991338253
gov,10,bible,1,gov,92.31460368296298,-44.64007855492535,-58.89030118642043,-0.15817213361879368,12.437544283238166,-174.98544165955573,132.275616349336,1.1629739319501756e-09,2.128648190961207
gov,10,bible,10,flores,76.52819171713698,-63.79797870376672,-74.51700471186419,55.878442108743755,-45.81691231784566,-125.71637378261521,96.79127708754694,7.514263700612719e-13,2.045258663384379
gov,10,bible,10,bible,-75.21614971850221,999.9994167069813,-948.4649036818086,537.789664024285,-575.9220284014573,-800.692550618181,570.674166100448,0.012054089337386486,9.943535550198936
gov,10,bible,10,gov,153.42585379636535,-189.60687582913044,54.84871770560141,273.7619250767582,-261.7314959559825,-403.9696893433524,296.63390307009223,4.855794564950053e-13,2.0597228473725155
gov,10,bible,25,flores,84.29281631903342,-68.27036937535708,-84.60853018929188,43.50796651408489,-29.68058591129472,-130.21687063119327,101.80317535035647,1.3668611971500928e-12,1.9362920530255727
gov,10,bible,25,bible,-97.84289232537407,995.5515222873746,-863.2687216059336,599.4969774601982,-642.9281793466915,-795.8440532462893,553.7549780901127,0.017224340109082418,11.55466911641739
gov,10,bible,25,gov,244.78150845794207,-511.05205076238383,425.60102687133934,296.0441640716016,-281.8523590936685,-476.79417799807214,342.75582292355676,2.3856815090766396e-10,6.848578772407267
gov,50,bible,1,flores,7.193587904859287,-4.4878184457269406,-3.1583358819687333,-0.2080670539774327,-1.394050997778807,1.7410739634895425,-6.578764419450947,1.5814509455562772e-09,0.015959592576690915
gov,50,bible,1,bible,11.095784949968316,4.385456134098634,1.6138986019456223,-9.09185925612203,-15.27599047079946,12.151229186744906,10.480725672483599,1.4138952406649085e-12,3.47809431688605
gov,50,bible,1,gov,5.060948840463663,-3.069160407228218,-0.0779299126829653,-0.13504122496891108,-1.1874952804308947,2.763284956368949,-6.751745880579499,1.029067174215745e-10,0.0142516439741722
gov,50,bible,10,flores,2.431910420182862,7.418271193828141,1.997983424880527,-0.2285978103783555,-3.4220527350293124,0.20185056484776742,-6.269152226492569,3.534626511703096e-11,0.028753067337380346
gov,50,bible,10,bible,13.936607968138167,7.070776891395129,3.206335878079945,-10.696300591364608,-18.782651209571807,16.57952481233042,18.24683226742828,1.0861545198274265e-08,4.11896288049043
gov,50,bible,10,gov,3.2829178146617743,-3.7614313929380265,-0.7735426473159381,2.512242801319421,0.963122876658027,2.622274107241539,2.371581083120304,1.7960518699654527e-11,0.2669041775965231
gov,50,bible,25,flores,4.03442050857542,-0.2892657821447903,0.6003337707456052,0.17735794579702224,-1.3203562495476349,5.277649855047596,-9.04835029551923,8.441486315115948e-11,0.12922872688421988
gov,50,bible,25,bible,17.91666708396986,8.23862653051212,3.585743299550024,-8.738145133399144,-19.832145224605423,16.52004944656538,15.880335184115243,3.726096610059214e-09,2.9802779336329572
gov,50,bible,25,gov,2.7524922229405453,1.4621666676302023,0.5859421137765854,3.314512678624893,3.174188788191336,1.0786393230965723,-0.6155961485527942,1.0594235376833751e-09,0.31762590650782396
bible,25,gov,1,flores,135.2403309920938,-121.94438127562287,-114.8971740959647,101.76287348855854,-93.19969535904728,-217.73503878589838,168.91470841550338,1.7664087603527435e-09,3.286044719963361
bible,25,gov,1,bible,82.42152029431988,-160.24978167399013,25.532030424883523,356.55477560989345,-360.7367949762984,-246.51452414101084,163.71932433771258,1.5805721022442755e-09,3.3796183988104045
bible,25,gov,1,gov,143.67581456564258,-181.26791931629418,95.35504621239019,257.2016351443494,-256.0279391232609,-358.367744221183,269.81646470628664,1.615417497504482e-09,2.296958375107126
bible,25,gov,10,flores,195.8783685018589,-195.49850301440125,-213.66616111651157,192.71398615872934,-185.4352879236553,-274.429877574152,215.39945464086972,8.413090538758975e-11,5.527595515040083
bible,25,gov,10,bible,470.16477420355125,-962.2078921339863,875.7878149637868,553.3281065729112,-554.7260346952305,-939.5789744799731,658.8855178251279,3.365432419990224e-09,10.820836068843839
bible,25,gov,10,gov,210.18177569022194,-392.97111571928326,395.6494223200438,521.0356167955966,-548.5400769632337,-589.9880125246573,440.5357999462048,3.242085171340398e-09,9.933241935215529
bible,25,gov,25,flores,207.18543812330762,-191.21268168619358,-209.11095108568446,180.28360043239147,-170.91265563534003,-299.13718323890816,230.10541176644634,2.323505459037761e-09,3.990623874621481
bible,25,gov,25,bible,401.2809923696073,-999.9996265619362,989.7720348965751,971.8689650124643,-999.9999744590594,-999.9999992375859,678.2703301191101,0.052929592311425605,11.525692635010847
bible,25,gov,25,gov,175.72242633477833,-176.56532696321426,177.8145578663028,340.3291503027419,-359.9096946974263,-541.7662652962001,425.14430214367115,9.732827549683449e-13,7.18433858816277
bible,25,gov,50,flores,28.34151775626642,13.127226889952315,-6.009100668042303,-8.449400970818145,-13.427356132590887,-5.374829209100761,-18.1488498412239,1.1758405078389782e-09,1.0414804293561626
bible,25,gov,50,bible,9.044537010158901,5.056650660706024,2.6341828333594495,-1.9823919040140832,-8.77199314540783,3.899266263443081,-1.0835902529478452,3.6655095798916687e-10,1.0649279189809442
bible,25,gov,50,gov,16.087661382250428,7.854555043603432,4.588381585525054,-5.700319619233031,-13.876790565838816,-0.056101722676960376,54.7315371677922,2.9283013652778774e-09,6.6873864824457705
bible,1,gov,1,flores,343.2412707315174,-737.344327822477,584.1659079339552,424.55613959668443,-423.96292701084485,-622.2271673111059,436.9309495103564,8.374150292247654e-09,7.487766732604304
bible,1,gov,1,bible,444.4339692515615,-999.9803860218528,956.9847922010543,408.5836227815667,-402.3443160273872,-780.3274447369639,539.9035852028899,1.9272964147744254e-09,14.501951268877752
bible,1,gov,1,gov,391.16636190008273,-976.4163931914792,998.6739105591812,977.9816000506623,-999.9988433092774,-999.861642490369,683.8224930002616,0.7278619633652312,18.67684462138234
bible,1,gov,10,flores,710.4052939169707,-742.8073560335198,272.7572203891822,-579.8189271888854,658.0031835137763,-912.5493545350171,724.4762836155788,4.947460385276303e-09,3.1210752238667205
bible,1,gov,10,bible,353.26218726441203,-864.1702046932024,875.5627735663012,972.1436365924033,-999.215251972652,-974.3376583106825,653.842678641785,2.8005287530642524e-08,10.63850625335892
bible,1,gov,10,gov,484.3054018374774,-999.9723206162752,995.901287471172,404.02897905648433,-414.61995452623324,-884.8977576863462,660.8016320044468,0.006513560689720834,11.822478964720776
bible,1,gov,25,flores,137.35040877009442,-23.264356385334107,-368.3466165970212,469.79552146278456,-476.27077452786517,-392.0541522533886,279.58437252767266,2.328771062262813e-10,7.370873173462707
bible,1,gov,25,bible,261.18436793069463,-479.96956356147217,495.7644838875515,972.3873936300134,-999.9998753169643,-988.9082158391961,665.7142230549766,0.013736919576765146,12.030553443769891
bible,1,gov,25,gov,87.99605860008135,215.8185597611605,-243.31961833013216,413.254351072577,-435.43243341673497,-595.031543083594,458.5312700997012,4.76794612573474e-09,3.442397429972916
bible,1,gov,50,flores,27.541827372839553,13.113592961946242,-3.2998491560073684,-9.48103173318263,-13.810647482337874,-5.586075486142834,-17.18465120139974,6.6134478979195985e-09,2.003540563883803
bible,1,gov,50,bible,3.9327586053146533,10.69116259691,0.29158021412048474,-3.8946694677220575,-2.1612841492200996,2.3611405876640403,1.132472110456135,7.619512648901532e-10,0.712905688221939
bible,1,gov,50,gov,11.235610733837664,10.59827528091699,7.090445834234934,-11.05636579141414,-12.99168097413397,15.626660059178954,42.37741337737079,7.461302199180125e-09,9.250925798020722
bible,10,gov,1,flores,180.61339170002188,-101.59363906873251,-130.65691547589455,31.622788773912117,-15.73207481538121,-326.6609865829858,248.97152712830132,4.3957168424625237e-10,5.1370712349947585
bible,10,gov,1,bible,174.01186269016154,-244.4450489695874,119.13893678904357,249.18837805867068,-241.70211732667715,-397.95429520074504,277.7354998819616,1.4843896977912667e-09,4.425108715515153
bible,10,gov,1,gov,241.60713590958167,-420.09080231881796,349.99408817341794,267.31168784223155,-263.8924567733357,-488.810694013496,362.27067061007506,3.9436722123692394e-13,7.952587720250069
bible,10,gov,10,flores,207.61392720769754,-183.49008039747523,-208.12811157096263,181.26173667324346,-171.18117613447149,-318.7013388676029,243.54211099623757,1.7005435860742557e-09,4.596512134953462
