train set 1,train set 1 size,train set 2,train set 2 size,test set,c0,c1,c2,c3,c4,c5,rmse,kfold rmse
cc_align,100,gov,50,bible,3.5285916362885033,-0.13008799186908612,-0.354504978275633,-1.1097159988797543,1.2841676029201794,-0.07929985799268434,9.571921441503004e-09,0.14755725363105635
cc_align,100,gov,50,gov,3.483417202663083,0.6846599589040001,-1.2285544816842158,1.9713732209549615,1.2527795943731355,0.4334008470420972,1.360301397390658e-08,7.146161737915271
cc_align,100,bible,1,flores,12.733112723065977,16.123016104246418,1.3741324674809579,-6.544439106884735,-5.027435048571102,-3.164412334712382,8.655600764962588e-08,0.634993196245109
cc_align,100,bible,1,bible,7.110773021707806,5.687396879966894,-0.021111121613189853,0.012705972623024654,-2.632312456713786,1.82231603435146,6.693545773098567e-09,1.3859718685094795
cc_align,100,bible,1,gov,16.19173811144946,24.109484448549683,-1.1753813770735304,-7.738026516602009,-5.465799109492508,-9.003584412398892,1.7252446330286754e-07,0.6122963817055396
cc_align,100,bible,10,flores,10.326131636340193,10.564199163022456,1.0462392935616187,-4.364032878328852,-2.376876514563731,-4.049553752558916,2.7562446112888073e-08,0.8627592399239148
cc_align,100,bible,10,bible,6.737214020072782,5.026644065263524,-0.16745236275630956,0.33316017984255686,-1.8229934752407622,1.4646964826593705,7.15408988332638e-09,1.6957599549939353
cc_align,100,bible,10,gov,13.386360534796376,18.86387539468385,2.0745363512238226,-5.528174590138025,-7.552315478482342,-2.9181654662165455,5.960263887574071e-08,0.8359551554163036
cc_align,100,bible,25,flores,10.436066261980313,10.636661341960538,1.412369289395446,-4.364113796309706,-2.538777953315655,-3.9791060325711123,6.3200209654300466e-09,0.9651124698221031
cc_align,100,bible,25,bible,6.981823676980807,5.290518755218938,-0.30257559460520933,0.12776565265754716,-1.4962724579061983,1.102809042316078,6.942364839574182e-09,2.309758429334845
cc_align,100,bible,25,gov,12.412489776307453,15.925085560298552,3.0676190749753744,-5.334788856779777,-6.993968289164952,-1.5837964391006214,9.809275406107426e-09,0.7788967813852332
gov,25,bible,1,flores,13.956574552364614,18.25687312970998,-1.1783775797340739,-7.34581258577733,-1.0929954449182808,-11.372292420012764,4.5250642190624915e-08,0.9510935869746519
gov,25,bible,1,bible,7.183381106474329,5.535176230592214,-0.5169301633008802,0.19729022273138452,-1.9402336023336875,0.49433672391010336,5.870817107180404e-09,1.6351399324732316
gov,25,bible,1,gov,13.580809866572265,17.08701134126509,-1.2647383891087172,-6.3723534572889005,-1.3315619405889956,-10.661058590621888,3.558355555888652e-08,0.9334476803229079
gov,25,bible,10,flores,13.33451125322505,16.017096547153518,-1.785717739215036,-4.677594354330564,-0.8462750144311478,-11.624914094144557,3.938045364859662e-08,1.4824794683190987
gov,25,bible,10,bible,6.8606295085100415,5.111646556968893,-0.4467524966758035,0.4240242340823179,-1.6589417059260059,1.0475268104980666,2.4946307092529175e-09,1.9086512367951811
gov,25,bible,10,gov,9.583990883165855,6.656156415679813,1.891414528200732,-0.40922884961813855,-3.401506959306525,-3.2834302450473998,1.665449454413208e-08,0.9674378074962111
gov,25,bible,25,flores,13.04271544506387,15.029139003835153,-0.9638690628020319,-4.955916139608902,-0.6348515254270288,-11.116560709277124,3.499685980964223e-08,1.593323909337258
gov,25,bible,25,bible,7.135141533057639,5.511741096401539,-0.3847716157872616,0.025462473352655262,-1.4517241343834655,0.9106610457831845,5.482962437788038e-09,2.51502463308362
gov,25,bible,25,gov,9.792911395346932,10.347305369506032,3.0512659552196535,-2.265398045371456,-5.22054576498817,-1.3788124747101107,1.495598828961216e-08,1.225419010508389
gov,1,bible,1,flores,17.023441808515148,29.164774962764213,1.6666499711737235,-10.254177468835275,-8.451980608221259,-6.4446912311884805,4.9144062294886215e-08,1.0450366691209498
gov,1,bible,1,bible,8.05130319919917,7.249012954167318,0.29710942264330736,-0.422056269688255,-3.6643983450051962,2.149035871694246,3.6564981588358442e-09,1.5309292750838892
gov,1,bible,1,gov,13.354351318433645,19.505456533706468,3.374990686519746,-5.154931106301994,-9.342312809994846,-0.9315769255090763,8.476323965695657e-08,1.0411823222024188
gov,1,bible,10,flores,13.731205186394316,18.526796054195835,-0.2165015615577435,-4.533484356544984,-4.538847582044696,-8.099508140529903,8.213086445700804e-09,1.3714291717649587
gov,1,bible,10,bible,7.31657331011052,6.121169476520946,-0.19202564498227004,0.10235513299745873,-2.3363420040226455,1.457868289196558,1.1967776813818912e-08,2.158319985101206
gov,1,bible,10,gov,11.550496186520641,15.978410412683205,5.413746590797516,-3.4254128648619075,-10.67163546645188,3.8516464091610207,5.043362485355056e-09,1.5012117638425093
gov,1,bible,25,flores,13.25074898909041,16.584623303615842,0.06160482818080779,-4.980265393337011,-3.1636781441525854,-8.198602109418724,1.1896397025721244e-08,1.4321920326693651
gov,1,bible,25,bible,7.323147540011329,5.683135412115189,-0.23883033129763948,0.11951190434689206,-1.7676264660835581,1.0219692104655587,3.460872103862036e-09,2.5459848831375176
gov,1,bible,25,gov,12.47558204859723,19.408921898865845,6.348132499871332,-5.2008087276557475,-12.424720310698252,5.858922194961905,2.2236422067423644e-08,1.9587802866653454
gov,10,bible,1,flores,14.95563762710099,22.12405062847189,-1.9016930234104314,-7.207118355707317,-2.5757865133225675,-12.321109921748683,1.148884304208219e-07,1.005220528991347
gov,10,bible,1,bible,7.348114818803188,5.782443203920754,-0.5644985187483889,0.09332725179445198,-1.925649661413143,0.2700892269369286,4.610427027407633e-09,1.739706564281834
gov,10,bible,1,gov,13.976413980129244,18.945957355916732,-0.6777834029241823,-6.272573128897917,-3.0752200910893404,-9.543016495797044,6.213732814170203e-08,1.0315028453900943
gov,10,bible,10,flores,12.912844505001228,15.126220302544073,-1.164035373548475,-4.614556897917524,-1.3106958164227456,-10.151455282441157,9.528803443057202e-09,1.3469356546378561
gov,10,bible,10,bible,7.233392972959208,5.422650159430301,-0.4403636618571764,0.30183929963759837,-1.7453504709423466,0.9024977696372137,2.0547597143066367e-08,2.141053904408249
gov,10,bible,10,gov,9.570093755956869,10.101986798393964,2.8562624612804433,-1.2087109349380785,-6.047319796046966,-0.6691968408710578,2.9694109744892863e-08,1.069856611955177
gov,10,bible,25,flores,12.439787006568109,13.63150780339195,-0.4538301631607635,-4.456821569703436,-1.1810948944103044,-9.306467829665438,1.2102664125218214e-08,1.4279680933296477
gov,10,bible,25,bible,6.954792954527285,5.2687202976941885,-0.270205061558729,0.10189118513107852,-1.5344982747216525,1.2036540807055847,1.2719534922992365e-08,2.2107783598573407
gov,10,bible,25,gov,9.351969970375118,10.307387431430266,4.027363154337169,-1.9493464926368063,-7.167383442932747,2.0081427586241785,2.3384240820589148e-08,0.9047966832092481
gov,50,bible,1,flores,4.064279169980421,0.0923455889092172,-1.995687736306125,-3.936425381625309,2.599060146258093,0.7191902541644365,3.657224842809153e-08,0.06930605895816526
gov,50,bible,1,bible,3.513639456399545,0.6077686719527207,-1.8293583321576048,1.505687208256805,1.085263557503937,0.46716974135630834,2.999595977107613e-08,4.06518744220363
gov,50,bible,1,gov,3.882154855565827,-0.037187627727520156,-1.52119867984652,-3.289933347133324,2.1564922205163595,0.441813155492574,3.2763303171977686e-08,0.0234854186685647
gov,50,bible,10,flores,3.8775232183858277,0.09531237628267948,-1.74369513442539,-2.0265885352128366,1.7354187429288523,0.41895263537184485,1.7945048079193297e-08,0.1940774906020432
gov,50,bible,10,bible,3.571191200324489,0.698392291607649,-1.7025040798104036,1.5953123469369457,1.2947174182148524,0.5432137717351387,6.029094328659113e-09,5.953668996319867
gov,50,bible,10,gov,2.676448472088911,-0.27629133956494556,0.4818027814680443,1.0669681590665714,0.1668004521194973,-0.6313696474175713,1.01744473092083e-08,0.37038566697185576
gov,50,bible,25,flores,3.7190241433764744,-0.04764422022925923,-0.9962679466740234,-1.9719995273817805,1.665051817434003,0.19195917711351662,1.6655777948346494e-09,0.008164061753642309
gov,50,bible,25,bible,3.6367825884427405,0.7405899365867464,-1.679352381048895,1.380113081856738,1.5085099789248602,0.6196108726359909,1.2488050867613105e-08,6.59184707328033
gov,50,bible,25,gov,2.7906229209116797,-0.256760206969671,0.6639435343194386,0.2590242123992014,0.688993656212984,-0.5052516455261882,4.0634240713103535e-10,0.6674445854748273
bible,25,gov,1,flores,14.382293117330754,18.339379653375804,-3.29140537306686,-3.9054493448272467,-1.1598090130284398,-12.010248794764506,1.1508535303075638e-08,2.788334454495448
bible,25,gov,1,bible,16.732460357071194,26.00970949444301,-0.48763562048781045,-8.730350682061417,-4.40432466771776,-10.591223849095998,7.712232016177738e-09,2.1059723927820846
bible,25,gov,1,gov,7.12910607819215,4.990550229048622,-0.03637339464689468,0.10991343393834088,-0.9839012201499986,-1.1449738375579375,5.788146438992404e-09,2.4483980055619132
bible,25,gov,10,flores,13.971474893051584,18.108042328271356,-3.4581173633944005,-3.737055334262575,-0.49383266833044187,-11.469284622540343,1.152759180902422e-08,5.7698884431948505
bible,25,gov,10,bible,12.644894164287805,16.862813274603308,1.2692293911355859,-3.833633526571992,-6.943007422416145,0.1373563509205491,6.592788349011618e-09,2.811882548097616
bible,25,gov,10,gov,6.998863053468683,4.960584998994794,-0.2954736875229085,0.6713148744162855,-1.0907605592476264,-0.2602061542716668,8.414848985415108e-09,3.0432752498898012
